year,avg_temp,moving_avg_7,moving_avg_14
1750,8.72,,
1751,7.98,,
1752,5.78,,
1753,8.39,,
1754,8.47,,
1755,8.36,,
1756,8.85,8.08,
1757,9.02,8.12,
1758,6.74,7.94,
1759,7.99,8.26,
1760,7.19,8.09,
1761,8.77,8.13,
1762,8.61,8.17,
1763,7.5,7.97,8.03
1764,8.4,7.89,8.00
1765,8.25,8.10,8.02
1766,8.41,8.16,8.21
1767,8.22,8.31,8.20
1768,6.78,8.02,8.08
1769,7.69,7.89,8.03
1770,7.69,7.92,7.95
1771,7.85,7.84,7.86
1772,8.19,7.83,7.97
1773,8.22,7.81,7.98
1774,8.77,7.88,8.10
1775,9.18,8.23,8.13
1776,8.3,8.31,8.10
1777,8.26,8.40,8.16
1778,8.54,8.49,8.17
1779,8.98,8.61,8.22
1780,9.43,8.78,8.29
1781,8.1,8.68,8.28
1782,7.9,8.50,8.36
1783,7.68,8.41,8.36
1784,7.86,8.36,8.38
1785,7.36,8.19,8.34
1786,8.26,8.08,8.35
1787,8.03,7.88,8.33
1788,8.45,7.93,8.31
1789,8.33,8.00,8.25
1790,7.98,8.04,8.23
1791,8.23,8.09,8.22
1792,8.09,8.20,8.19
1793,8.23,8.19,8.14
1794,8.53,8.26,8.07
1795,8.35,8.25,8.09
1796,8.27,8.24,8.12
1797,8.51,8.32,8.18
1798,8.67,8.38,8.24
1799,8.51,8.44,8.32
1800,8.48,8.47,8.33
1801,8.59,8.48,8.37
1802,8.58,8.52,8.38
1803,8.5,8.55,8.39
1804,8.84,8.60,8.46
1805,8.56,8.58,8.48
1806,8.43,8.57,8.50
1807,8.28,8.54,8.51
1808,7.63,8.40,8.44
1809,7.08,8.19,8.35
1810,6.92,7.96,8.26
1811,6.86,7.68,8.14
1812,7.05,7.46,8.02
1813,7.74,7.37,7.97
1814,7.59,7.27,7.90
1815,7.24,7.21,7.81
1816,6.94,7.19,7.69
1817,6.98,7.20,7.58
1818,7.83,7.34,7.51
1819,7.37,7.38,7.42
1820,7.62,7.37,7.37
1821,8.09,7.44,7.35
1822,8.19,7.57,7.39
1823,7.72,7.69,7.44
1824,8.55,7.91,7.56
1825,8.39,7.99,7.66
1826,8.36,8.13,7.76
1827,8.81,8.30,7.83
1828,8.17,8.31,7.88
1829,7.94,8.28,7.93
1830,8.52,8.39,8.04
1831,7.64,8.26,8.09
1832,7.45,8.13,8.06
1833,8.01,8.08,8.10
1834,8.15,7.98,8.14
1835,7.39,7.87,8.09
1836,7.7,7.84,8.06
1837,7.38,7.67,8.03
1838,7.51,7.66,7.96
1839,7.63,7.68,7.90
1840,7.8,7.65,7.86
1841,7.69,7.59,7.78
1842,8.02,7.68,7.77
1843,8.17,7.74,7.79
1844,7.65,7.78,7.73
1845,7.85,7.83,7.74
1846,8.55,7.96,7.82
1847,8.09,8.00,7.83
1848,7.98,8.04,7.82
1849,7.98,8.04,7.86
1850,7.9,8.00,7.87
1851,8.18,8.08,7.93
1852,8.1,8.11,7.97
1853,8.04,8.04,8.00
1854,8.21,8.06,8.03
1855,8.11,8.07,8.06
1856,8,8.08,8.06
1857,7.76,8.06,8.03
1858,8.1,8.05,8.06
1859,8.25,8.07,8.09
1860,7.96,8.06,8.05
1861,7.85,8.00,8.03
1862,7.56,7.93,8.00
1863,8.11,7.94,8.01
1864,7.98,7.97,8.02
1865,8.18,7.98,8.02
1866,8.29,7.99,8.03
1867,8.44,8.06,8.06
1868,8.25,8.12,8.06
1869,8.43,8.24,8.08
1870,8.2,8.25,8.10
1871,8.12,8.27,8.12
1872,8.19,8.27,8.13
1873,8.35,8.28,8.14
1874,8.43,8.28,8.17
1875,7.86,8.23,8.17
1876,8.08,8.18,8.21
1877,8.54,8.22,8.24
1878,8.83,8.33,8.30
1879,8.17,8.32,8.30
1880,8.12,8.29,8.29
1881,8.27,8.27,8.27
1882,8.13,8.31,8.27
1883,7.98,8.29,8.23
1884,7.77,8.18,8.20
1885,7.92,8.05,8.19
1886,7.95,8.02,8.17
1887,7.91,7.99,8.14
1888,8.09,7.96,8.12
1889,8.32,7.99,8.15
1890,7.97,7.99,8.14
1891,8.02,8.03,8.10
1892,8.07,8.05,8.05
1893,8.06,8.06,8.04
1894,8.16,8.10,8.04
1895,8.15,8.11,8.04
1896,8.21,8.09,8.04
1897,8.29,8.14,8.06
1898,8.18,8.16,8.09
1899,8.4,8.21,8.13
1900,8.5,8.27,8.17
1901,8.54,8.32,8.21
1902,8.3,8.35,8.23
1903,8.22,8.35,8.22
1904,8.09,8.32,8.23
1905,8.23,8.33,8.24
1906,8.38,8.32,8.27
1907,7.95,8.24,8.26
1908,8.19,8.19,8.26
1909,8.18,8.18,8.26
1910,8.22,8.18,8.26
1911,8.18,8.19,8.25
1912,8.17,8.18,8.25
1913,8.3,8.17,8.25
1914,8.59,8.26,8.25
1915,8.59,8.32,8.26
1916,8.23,8.33,8.25
1917,8.02,8.30,8.24
1918,8.13,8.29,8.24
1919,8.38,8.32,8.25
1920,8.36,8.33,8.25
1921,8.57,8.33,8.29
1922,8.41,8.30,8.31
1923,8.42,8.33,8.33
1924,8.51,8.40,8.35
1925,8.53,8.45,8.37
1926,8.73,8.50,8.41
1927,8.52,8.53,8.43
1928,8.63,8.54,8.43
1929,8.24,8.51,8.41
1930,8.63,8.54,8.43
1931,8.72,8.57,8.48
1932,8.71,8.60,8.53
1933,8.34,8.54,8.52
1934,8.63,8.56,8.54
1935,8.52,8.54,8.54
1936,8.55,8.59,8.55
1937,8.7,8.60,8.57
1938,8.86,8.62,8.59
1939,8.76,8.62,8.61
1940,8.76,8.68,8.61
1941,8.77,8.70,8.63
1942,8.73,8.73,8.64
1943,8.76,8.76,8.67
1944,8.85,8.78,8.69
1945,8.58,8.74,8.68
1946,8.68,8.73,8.68
1947,8.8,8.74,8.71
1948,8.75,8.74,8.72
1949,8.59,8.72,8.72
1950,8.37,8.66,8.71
1951,8.63,8.63,8.71
1952,8.64,8.64,8.69
1953,8.87,8.66,8.70
1954,8.56,8.63,8.68
1955,8.63,8.61,8.67
1956,8.28,8.57,8.64
1957,8.73,8.62,8.64
1958,8.77,8.64,8.63
1959,8.73,8.65,8.65
1960,8.58,8.61,8.64
1961,8.8,8.65,8.64
1962,8.75,8.66,8.64
1963,8.86,8.75,8.66
1964,8.41,8.70,8.66
1965,8.53,8.67,8.65
1966,8.6,8.65,8.65
1967,8.7,8.66,8.64
1968,8.52,8.62,8.64
1969,8.6,8.60,8.63
1970,8.7,8.58,8.66
1971,8.6,8.61,8.65
1972,8.5,8.60,8.63
1973,8.95,8.65,8.65
1974,8.47,8.62,8.64
1975,8.74,8.65,8.64
1976,8.35,8.62,8.61
1977,8.85,8.64,8.61
1978,8.69,8.65,8.63
1979,8.73,8.68,8.64
1980,8.98,8.69,8.67
1981,9.17,8.79,8.70
1982,8.64,8.77,8.71
1983,9.03,8.87,8.74
1984,8.69,8.85,8.74
1985,8.66,8.84,8.75
1986,8.83,8.86,8.77
1987,8.99,8.86,8.77
1988,9.2,8.86,8.83
1989,8.92,8.90,8.84
1990,9.23,8.93,8.90
1991,9.18,9.00,8.92
1992,8.84,9.03,8.94
1993,8.87,9.03,8.95
1994,9.04,9.04,8.95
1995,9.35,9.06,8.96
1996,9.04,9.08,8.99
1997,9.2,9.07,9.00
1998,9.52,9.12,9.06
1999,9.29,9.19,9.11
2000,9.2,9.23,9.13
2001,9.41,9.29,9.16
2002,9.57,9.32,9.19
2003,9.53,9.39,9.23
2004,9.32,9.41,9.24
2005,9.7,9.43,9.28
2006,9.53,9.47,9.33
2007,9.73,9.54,9.39
2008,9.43,9.54,9.42
2009,9.51,9.54,9.43
2010,9.7,9.56,9.47
2011,9.52,9.59,9.50
2012,9.51,9.56,9.50
2013,9.61,9.57,9.52
2014,9.57,9.55,9.55
2015,9.83,9.61,9.58
